cluster_id,question,noun_form
0,"입사후 포부 10년 시나리오와 추구 이유,500자",입사후 포부 10년 시나리오 추구 이유500자
0,입사 후 포부: 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요. 500자,입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해 500자
0,"나의 강점/포부: 지원한 직무와 관련하여 자신의 강점이 무엇이며, 그러한 강점을 활용한 자신의 입사 후 포부를 기술해주시기 바랍니다. (700자)",강점포부 지원한 직무 관련 자신 강점 무엇 그러한 강점 활용한 자신 입사 포부 기술해주시기 바랍니다 700자
0,입사 후 비전에 대해서,입사 비전
0,입사 후 포부를 기술해 주십시오.,입사 포부 기술해
0,입사를 위한 준비과정* 300,입사 준비과정 300
0,본인의 입사 후 포부에 대해 기술하십시오.,본인 입사 포부 대해 기술하
0,"지원한 직무와 관련하여 자신의 강점이 무엇이며, 그러한 강점을 활용한 자신의 입사 후 포부를 기술해주시기 바랍니다.",지원한 직무 관련 자신 강점 무엇 그러한 강점 활용한 자신 입사 포부 기술해주시기 바랍니다
0,"지원한 직무와 관련하여 자신의 강점이 무엇이며, 그러한 강점을 활용한 자신의 입사 후 포부를 기술해주시기 바랍니다. (700자)",지원한 직무 관련 자신 강점 무엇 그러한 강점 활용한 자신 입사 포부 기술해주시기 바랍니다 700자
0,입사 후 계획/포부,입사 계획포부
0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기 술해 주세요.(16줄 이내),입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 술해
0,지원동기 및 입사 후 포부 (350자),지원동기 입사 포부 350자
0,지원하는 직무 수행을 위한 준비 노력과 입사 후 포부를 기술해주시기 바랍니다.,지원 직무 수행 준비 노력 입사 포부 기술해주시기 바랍니다
0,우리공사 지원사유 및 입사 후 포부에 대해 기술해 주십시오. [ 100자 이상 600자 이내 ],우리공사 지원사유 입사 포부 대해 기술해
0,[지원동기 및 포부]많은 직장 중에서 항공사를 선택하게 된 이유와 특히 대한항공에 지원하게 된 동기 및 입사 후 포부에 대해 구체적으로 기술하시오.,지원동기 포부많 직장 항공사 선택하게 이유 특히 대한항공 지원하게 동기 입사 포부 대해 구체적 기술하
0,입사 후 포부에 대해 말씀해 주십시오.,입사 포부 대해 말씀해
0,"입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요. (500자, 16줄 이내)",입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
0,지원동기 및 입사 후 포부(600자 이내),지원동기 입사 포부
0,입사지원동기 및 장래 포부,입사지원동기 장래 포부
0,입사 후 포부(Vision)에 대하여. 800byte,입사 포부 800byte
0,"지원한 직무와 관련하여 자신의 강점이 무엇이며, 그러한 강점을 활용한 자신의 입사 후 포부를 기술해주시기 바랍니다",지원한 직무 관련 자신 강점 무엇 그러한 강점 활용한 자신 입사 포부 기술해주시기 바랍니다
0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요.(500자 16줄 이내),입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
0,입사 후 포부(Vision)에 대하여. 800 byte,입사 포부 800 byte
0,입사 후 포부 및 5년 후와 10년 후 본인의 모습을 기술하세요. 1000자,입사 포부 5년 10년 본인 모습 기술하 1000자
0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해 주세요.(16줄 이내),입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
0,입사 후 하고 싶은 구체적인 직무와 포부를 기술해 주십시오.,입사 구체적인 직무 포부 기술해
0,인천국제공항공사 입사 후 10년 내에 성취하고 싶은 포부를 과거 본인의 경험과 연계하여 기술하세요. [100자 이상 600자 이내],인천국제공항공사 입사 10년 성취 포부 과거 본인 경험 연계 기술하
0,입사 후 포부 및 공사에서의 역할,입사 포부 공사에서 역할
0,입사지원 동기 및 입사 후 포부에 대해 기술하시오,입사지원 동기 입사 포부 대해 기술하
0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요. (500자 이내),입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
0,"㈜한화/무역에 입사한 자신의 모습을 예상해 보고, 입사 후 포부를 기술하시오.(500)",한화무역 입사한 자신 모습 예상해 보고 입사 포부 기술하시오500
0,입사 후 포부: 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요. (500자),입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해 500자
0,[지원동기 및 포부]많은 직장 중에서 항공사를 선택하게 된 이유와 특히 대한항공에 지 원하게 된 동기 및 입사 후 포부에 대해 구체적으로 기술하시오.(600자 이내),지원동기 포부많 직장 항공사 선택하게 이유 특히 대한항공 원하게 동기 입사 포부 대해 구체적 기술하
0,입사후 포부에 대해서 기술해 주세요. (2000 Bytes 이내),입사후 포부 기술해
0,입사 후 포부(300),입사 포부300
0,입사 후 포부(200자),입사 포부200자
0,당사를 지원한 동기와 입사 후 포부는 무엇입니까? [400자 이내],당사 지원한 동기 입사 포부 무엇입니까
0,입사 후 포부 및 공사에서의 역할 (1300자),입사 포부 공사에서 역할
0,"입사 후 선택한 직무를 통해 이루고자 하는 비젼(꿈)과 그에 대한 본인의 성장 계획, 포부 등을 서술해주시기 바랍니다.",입사 선택한 직무 이루고자 비젼꿈 본인 성장 계획 포부 서술해주시기 바랍니다
0,지원동기 및 입사 후 포부(100자 이상 ~ 150자 이내),지원동기 입사 포부
0,입사 후 VISION과 구체적인 달성계획을 기술해 주십시오.,입사 VISION 구체적인 달성계획 기술해
0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해 주세요. (500자),입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해 500자
0,지원동기 및 입사 후 포부 수정,지원동기 입사 포부 수정
0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술 (500자),입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술 500자
0,지원하게 된 동기와 입사 후 포부에 대하여 기술하여 주십시오.,지원하게 동기 입사 포부 기술
0,입사 지원동기와 입사 후 포부를 기술하여 주시기 바랍니다.(1200바이트),입사 지원동기 입사 포부 기술 주시기 바랍니다
0,"BGF . 리테일에 지원하게 된 동기와 입사 후 포부에 대하여 기술하시오.* 2,100 Byte 글자수 공백포함 이내 입력",BGF 리테일 지원하게 동기 입사 포부 기술하 2100 Byte 글자수 공백포함 이내 입력
0,본인의 가치관에 근거하여 현대모비스를 지원하게 된 이유와 입사 후 포부를 기재해 주십시오.(1000자),본인 가치관 근거 현대모비스 지원하게 이유 입사 포부 기재해
0,"입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요. (글자수 500, 16줄 이내)",입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
0,당사 지원동기 및 입사 후 포부에 대해 상세하게 기술하시오.,당사 지원동기 입사 포부 대해 상세하게 기술하
0,입사 후 포부(VISION)에 대해 기술하세요. (500자 이내),입사 포부 대해 기술하
0,지원 동기 및 입사 후 포부를 기술해 주시기 바랍니다,지원 동기 입사 포부 기술해 주시기 바랍니다
0,당사 지원동기와 입사 후 포부를 기술하여 주시기 바랍니다.,당사 지원동기 입사 포부 기술 주시기 바랍니다
0,아래의 제시어 중 하나를 선택하여 정의를 내려주시고 제시어와 연관지어 입행 후 포부에 대해 작성해주십시오.,아래 제시어 하나 선택 정의 내려주시고 제시어 연관지어 입행 포부 대해 작성해주
0,입사 후 포부(Vision)에 대하여. (400자),입사 포부 400자
0,지원 동기 및 입사 후 포부 (3000byte 이내),지원 동기 입사 포부
0,지원동기 및 입사 후 포부 [1000자 이내],지원동기 입사 포부
0,우리공사 지원사유 및 입사 후 포부에 대해 기술해 주십시오.,우리공사 지원사유 입사 포부 대해 기술해
0,입사 후 포부 : IT 트렌드/기술동향을 고려하여입사 후 10년 동안 회사에서 이루고자 하는 포부와 그것을 추구하는 이유를 기술해주세요.,입사 포부 IT 트렌드기술동향 고려하여입사 10년 동안 회사 이루고자 포부 그것 추구 이유 기술해
0,본인의 가치관에 근거하여 현대모비스를 지원하게 된 이유와 입사 후 포부를 기재해 주십시오. [1000자 이내],본인 가치관 근거 현대모비스 지원하게 이유 입사 포부 기재해
0,지원동기 및 입사 후 포부 (600자 이내),지원동기 입사 포부
0,입사후 포부 [800자],입사후 포부 800자
0,"입사 후 만들고 싶은 현대글로비스의 모습과, 이를 위한 본인만의 구체적인 실천 계획을 기술해 주시기 바랍니다.[목표 및 비전, 직무 관련 미래계획, 포부 등](700자 이내)",입사 만들고 현대글로비스 모습 본인만 구체적인 실천 계획 기술해 주시기 바랍니다목표 비전 직무 미래계획 포부
0,입사 후 포부(VISION)에 대해 서술하시오,입사 포부 대해 서술하
0,당사에 지원한 동기와 입사 후 포부를 서술하시오.[500자],당사 지원한 동기 입사 포부 서술하시오500자
0,입사 후 포부 및 계획,입사 포부 계획
0,입사 후 포부(구체적 서술),입사 포부
0,지원한 동기와 입사 후 포부에 대해 자유롭게 기술하시오.,지원한 동기 입사 포부 대해 자유롭게 기술하
0,본인의 가치관에 근거하여 현대모비스를 지원하게 된 이유와 입사 후 포부를 기재해 주십시오. * [1000자 이내],본인 가치관 근거 현대모비스 지원하게 이유 입사 포부 기재해
0,당사를 지원한 동기와 입사 후 포부는 무엇입니까? (500자),당사 지원한 동기 입사 포부 무엇입니까 500자
0,입사 후 포부에 대해 기재해주세요.,입사 포부 대해 기재해
0,다양한 직업 중 은행원이 되고 싶은 이유와 향후 DGB 대구은행에 입행 후 포부에 대해 들려주세요.,다양한 직업 은행원 되고 이유 향후 DGB 대구은행 입행 포부 대해 들려
0,입사지원 동기 및 장래의 포부,입사지원 동기 장래 포부
0,"입사 후 만들고 싶은 현대글로비스의 모습과, 이를 위한 본인만의 구체적인 실천 계획을 기술해 주시길 바랍니다. [목표 및 비전, 직무 관련 미래계획, 포부 등] (700자 이내)",입사 만들고 현대글로비스 모습 본인만 구체적인 실천 계획 기술해 주시길 바랍니다 목표 비전 직무 미래계획 포부
0,지원한 동기와 입사 후 포부에 대해 자유롭게 기술하시오,지원한 동기 입사 포부 대해 자유롭게 기술하
0,입사후 포부에 대하여,입사후 포부
0,[지원동기 및 포부] 많은 직장 중에서 항공사를 선택하게 된 이유와 특히 대한항공에 지원하게 된 동기 및 입사 후 포부에 대해 구체적으로 기술하시오.,지원동기 포부 직장 항공사 선택하게 이유 특히 대한항공 지원하게 동기 입사 포부 대해 구체적 기술하
0,그러한 핵심가치를 기반으로 지역난방공사에서 성장하기 위한 포부를 구체적으로 기술하십시오,그러한 핵심가치 기반 지역난방공사 성장하기 포부 구체적 기술하
