rank,cluster_id,question,noun_form
1,6,금융결제원 지원 동기,금융결제원 지원 동기
2,6,지원 동기 및 회사에서 이루고 싶은 꿈을 기술하시오.,지원 동기 회사 이루고 기술하
3,6,"새마을금고에 지원한 동기와 새마을금고가 지원자를 채용해야 하는 이유를 본인의 역량, 강점, 경험 등 사례를 들어 작성해 주십시오",새마을금고 지원한 동기 새마을금고 지원자 채용 이유 본인 역량 강점 경험 사례 들어 작성해
4,6,동양생명에 지원하게 된 동기와 본인의 강점을 기술해 주십시오. (800자 이내),동양생명 지원하게 동기 본인 강점 기술해
5,6,[지원동기] 인천교통공사 청년인턴으로 지원하게 된 동기에 대하여 기술해 주십시오.,지원동기 인천교통공사 청년인턴 지원하게 동기 기술해
6,6,"회사와 직업을 선택하는 본인만의 기준 2가지를 적고, 그 이유와 함께 한국은행에 지원한 동기를 기술하시오.",회사 직업 선택 본인만 기준 2가지 적고 이유 한국은행 지원한 동기 기술하
7,6,우리 공단 체험형 인턴에 지원하게 된 동기 및 공단 근무를 통해 성장시켜나가고 싶은 역량이 무엇인지 서술하여 주십시오.,우리 공단 체험형 인턴 지원하게 동기 공단 근무 성장시켜나가고 역량 무엇인지 서술
8,6,콜마그룹의 콜마비앤에이치에 지원을 결심하시게 된 동기나 배경은 무엇인가요?,콜마그룹 콜마비앤에이치 지원 결심하시게 동기 배경 무엇인가요
9,6,마켓컬리 지원 동기 및 본인의 경력 목표에 대해 기술하시오.,마켓컬리 지원 동기 본인 경력 목표 대해 기술하
10,6,"본인의 가치관(또는 인생관)을 간단히 소개하고, 이와 관련하여 한국증권금융에 지원하게 된 동기를 서술하시오. 465 / 500 자",본인 가치관 간단히 소개 관련 한국증권금융 지원하게 동기 서술하 465 500
11,6,LG CNS에 지원한 동기와 입사 이후 꿈꾸는 것은 무엇인가요?,LG CNS 지원한 동기 입사 이후 꿈꾸 무엇인가요
12,6,"""LG전자""에 대한 지원 동기에 대하여 구체적으로 기술하여 주십시오.",LG전자 지원 동기 구체적 기술
13,6,BGF가 생각하는 '좋은 친구'는 '언제 어디서나 최상의 상품과 서비스를 제공하여 고객 가치를 실현하고 사회 발전에 공헌하는 기업'입니다. 고객과 사회의 '좋은 친구'인 BGF리테일에 지원하게 된 동기에 대해 기술해 주세요. (최대 500자 입력 가능),BGF 생각 친구 언제 어디서 최상 상품 서비스 제공 고객 가치 실현 사회 발전 공헌 기업 고객 사회 친구인 BGF리테일 지원하게 동기 대해 기술해
14,6,영업 직무에 도전하는 이유와 한샘 SC 직무에 지원한 동기를 작성해 주세요.,영업 직무 도전 이유 한샘 SC 직무 지원한 동기 작성해
15,6,일룸 직영적 영업전문직에 지원하게 된 동기 및 입사 후 목표에 대해 기술하여 주십시오. (700자 이내),일룸 직영적 영업전문직 지원하게 동기 입사 목표 대해 기술
