rank,cluster_id,question,noun_form
1,3,"자신의 가치관 또는 인생관에 영향을 미친 경험을 소개하고, 이를 통해 배우거나 느낀 점을 구체적으로 기술하시오.",자신 가치관 인생관 영향 미친 경험 소개 배우거 느낀 구체적 기술하
2,3,자신이 진행했던 프로젝트를 기술하고 본인이 기여한 부분을 구체적으로 서술하여 주십시오.,자신 진행했던 프로젝트 기술 본인 기여한 부분 구체적 서술
3,3,활발하게 활동하는 외부 개발 커뮤니티가 있다면 서술하여 주십시오.,활발하게 활동 외부 개발 커뮤니티 있다면 서술
4,3,개인 저장소 및 블로그 등이 있다면 운영 목적과 함께 서술하여 주십시오. (URL 포함),개인 저장소 블로그 있다면 운영 목적 서술
5,3,"자기소개 (양식, 분량 자유)",자기소개
6,3,"당사에 입사지원하신 이유와 지원한 분야를 희망하는 이유, 그리고 면접관이 꼭 알아주셨으면 하는 점을 기재해 주세요.",당사 입사지원하신 이유 지원한 분야 희망 이유 그리고 면접관 알아주셨으면 기재해
7,3,본인이 회사를 선택하는 기준을 바탕으로 우리 회사를 선택한 이유를 작성해 주세요.,본인 회사 선택 기준 바탕 우리 회사 선택한 이유 작성해
8,3,존경하는 인물과 이유,존경 인물 이유
9,3,최근 사회 이슈 중 중요하다고 생각되는 한 가지를 선택하여 이에 관한 자신의 견해를 기술하시오.,최근 사회 이슈 중요하다고 생각되 가지 선택 자신 견해 기술하
10,3,이력서 기재 사항 외 본인을 어필할 수 있는 사항이나 입사 후 성장 계획 등 추가적으로 언급하고 싶은 사항이 있다면 기술해 주십시오. (800자),이력서 기재 사항 본인 어필할 사항 입사 성장 계획 추가적 언급 사항 있다면 기술해 800자
11,3,삼성카드를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하십시오. 700자 이내 (영문 작성 시 1400자),삼성카드 지원한 이유 입사 회사 이루고 기술하
12,3,"[전문성] 자신의 역량 강화를 위해 어떤 노력을 하였으며, 그 결과 갖추게 된 능력이나 역량에 대해 기술해 주십시오.",전문성 자신 역량 강화 어떤 노력 하였으며 갖추게 능력 역량 대해 기술해
13,3,"본인이 오랜 기간 꾸준히 지켜온 신념은 무엇이며, 그러한 신념을 가지게 된 이유는 무엇인지, 신념을 지키기 위해 어떠한 노력을 해왔으며, 입사 후에는 어떻게 지켜나갈 계획인지 기술해 주십시오.",본인 오랜 기간 꾸준히 지켜온 신념 무엇 그러한 신념 가지게 이유 무엇인지 신념 지키기 어떠한 노력 해왔으며 입사 후에 어떻게 지켜나갈 계획인지 기술해
14,3,금융보안원 업무 수행과 관련하여 본인이 보유한 역량 및 기술을 자유롭게 기재하여 주십시오. (4개 이하 기재),금융보안원 업무 수행 관련 본인 보유한 역량 기술 자유롭게 기재
15,3,"금융·IT 산업 동향, 금융보안원의 기관 특성 및 현재 수행 중인 업무 분야를 고려할 때, 향후 금융보안원이 가장 집중적으로 추진해야 할 사업에 대한 본인의 견해를 자유롭게 기술하여 주십시오.",금융IT 산업 동향 금융보안원 기관 특성 현재 수행 중인 업무 분야 고려할 향후 금융보안원 가장 집중적 추진 사업 본인 견해 자유롭게 기술
16,3,한 줄 자기소개 (50자 이내),자기소개
17,3,시공사를 선택하게 된 배경과 계룡건설에 입사하기 위해 노력한 점을 기술해 주세요. (1500바이트 이내),시공사 선택하게 배경 계룡건설 입사하기 노력한 기술해
