rank,cluster_id,question,noun_form
1,0,당사 지원 동기와 입사 후 포부를 기술하여 주십시오.,당사 지원 동기 입사 포부 기술
2,0,(입사 후 포부) 디캠프에 입사하면 무엇을 하고 싶으세요? (최대 500자 입력가능),디캠프 입사 무엇 싶으
3,0,"[신입]의 경우 '입사 후 본인이 보유한 경험 활용 계획과 포부'를, [경력]의 경우 '입사 후 본인이 보유한 경력사항 활용 계획'을 작성해 주세요.",신입 경우 입사 본인 보유한 경험 활용 계획 포부 경력 경우 입사 본인 보유한 경력사항 활용 계획 작성해
4,0,지원동기 및 입사 후 포부,지원동기 입사 포부
5,0,입사 후 포부 : 입사 후 10년 동안의 회사 생활 시나리오와 그것을 추구하는 이유를 기술해 주세요.,입사 포부 입사 10년 동안 회사 생활 시나리오 그것 추구 이유 기술해
6,0,입사 후 포부를 설명해주세요,입사 포부 설명해
7,0,"1. 직장을 선택할 때 중요하게 생각하는 가치/기준을 설명하고, 항공산업 중에서도 특히 대한항공에 지원하게 된 사유와 입사 후 포부에 대해 기술해 주십 시오.",직장 선택할 중요하게 생각 가치기준 설명 항공산업 중에서 특히 대한항공 지원하게 사유 입사 포부 대해 기술해 주십
8,0,지원동기 및 입사 후 포부 2500자 이내,지원동기 입사 포부
9,0,[지원동기 및 입사 후 포부],지원동기 입사 포부
10,0,당사에 지원하신 동기와 입사 포부에 대하여 기재하여 주시기 바랍니다.* [100자 이상 500자 이내],당사 지원하신 동기 입사 포부 기재 주시기 바랍니다
11,0,지원 동기 및 입사 후 포부에 대해 작성하세요.,지원 동기 입사 포부 대해 작성하
12,0,4. 입사 후 각오 및 장래 포부,입사 각오 장래 포부
13,0,입사 후 포부에 대해 작성하시오.*,입사 포부 대해 작성하
14,0,한국원자력의학원에 지원하게 된 동기 및 입사 후 포부를 기술하여 주십시오. (조직이해능력),한국원자력의학원 지원하게 동기 입사 포부 기술
15,0,특별히 뷰웍스를 선택한 이유와 입사 후 포부에 대해 기술해주십시오.,특별히 뷰웍스 선택한 이유 입사 포부 대해 기술해주
16,0,Q.1. 지원동기 및 입사 후 포부를 서술하시오,지원동기 입사 포부 서술하
17,0,우리 회사에 입사하여 어떤 경로로 성장하고 싶은지와 그 포부를 기술하십시오.,우리 회사 입사 어떤 경로 성장 싶은지 포부 기술하
18,0,동부건설에 지원한 동기와 입사 후 포부를 기술해주십시오.,동부건설 지원한 동기 입사 포부 기술해주
19,0,입사 후 포부 : 입사 후 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요.,입사 포부 입사 회사생활 시나리오 그것 추구 이유 기술해
20,0,지원동기 및 입사 후 포부를 서술하시오. (500),지원동기 입사 포부 서술하 500
21,0,지원동기 및 입사 후 포부를 기술하시오.,지원동기 입사 포부 기술하
22,0,입사 후 포부를 서술하시오.,입사 포부 서술하
23,0,입사 후의 계획 및 포부를 자유롭게 기술바랍니다.,입사 계획 포부 자유롭게 기술바랍니다
24,0,당사에 본인이 기여할 부분과 입사 후 포부를 구체적으로 작성해 주십시오,당사 본인 기여할 부분 입사 포부 구체적 작성해
25,0,입사 후 포부를 설명해주세요.,입사 포부 설명해
26,0,동부건설에 지원한 동기와 입사 후 포부를 기술해주십시오. (최대 500자 입력가능),동부건설 지원한 동기 입사 포부 기술해주
27,0,직무 수행간의 포부,직무 수행간 포부
28,0,입사 후 포부 (구체적 서술),입사 포부
29,0,지원동기 및 입사 후 포부(10년 후 나의 모습)를 기술해 주시기 바랍니다.,지원동기 입사 포부 기술해 주시기 바랍니다
30,0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요.,입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
31,0,지원 동기 및 입사 포부,지원 동기 입사 포부
32,0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해 주세요.,입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
33,0,귀하의 지원 동기 및 입사 후 포부에 대해 간단하게 기술 바랍니다.,귀하 지원 동기 입사 포부 대해 간단하게 기술 바랍니다
34,0,입사 후 포부에 대해 작성하시오.,입사 포부 대해 작성하
35,0,지원부문 관련 지원동기와 입사 후 포부를 본인의 역량과 결부 시켜 구체적으로 기술하십시오.,지원부문 지원동기 입사 포부 본인 역량 결부 시켜 구체적 기술하
36,0,"국순당 지원동기는 무엇이며, 입사 10년 후 이루고자 하는 포부에 대해 기술하여 주십시오.",국순당 지원동기 무엇 입사 10년 이루고자 포부 대해 기술
37,0,입사 후 포부에 대해서 기술하시오.,입사 포부 기술하
38,0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요,입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해
39,0,지원동기 및 입사 후 포부를 기술해 주시기 바랍니다.,지원동기 입사 포부 기술해 주시기 바랍니다
40,0,향후 재경본부 일원 으로서의 포부를 기술해주십시오.,향후 재경본부 일원 으로서 포부 기술해주
41,0,자기소개 양식을 자유롭게 작성해주세요.(양식 및 분량 제한 없음) - 인카금융서비스에 지원하게 된 동기 및 입사 후 포부,자기소개 양식 자유롭게 작성해 인카금융서비스 지원하게 동기 입사 포부
42,0,한국미니스톱에 지원하게 된 동기와 앞으로 입사 후의 포부를 서술하세요.,한국미니스톱 지원하게 동기 입사 포부 서술하
43,0,일룸의 영업전문직군에 지원하게 된 동기와 입사 후의 포부를 서술하세요.,일룸 영업전문직군 지원하게 동기 입사 포부 서술하
44,0,현대차증권에 지원한 동기와 입사 후 포부를 기술해 주십시오.,현대차증권 지원한 동기 입사 포부 기술해
45,0,입사 후 포부 : 입사 후 10년 동안의 회사생활 시나리오와 그것을 추구하는 이유를 기술해주세요. 500,입사 포부 입사 10년 동안 회사생활 시나리오 그것 추구 이유 기술해 500
46,0,당사 지원동기와 입사 후 포부를 기술하여 주십시오.,당사 지원동기 입사 포부 기술
47,0,지원동기 및 입사 후 포부를 기술하시오,지원동기 입사 포부 기술하
48,0,입사 후 자신의 포부 (1500자 이내),입사 자신 포부
49,0,입사 후 포부 (최소 100자),입사 포부
50,0,현대글로비스에 입사 후 본인만의 포부 및 비전을 서술해 주세요.(제한없음),현대글로비스 입사 본인만 포부 비전 서술해 주세요제한없음
51,0,입사 후 포부 및 자기개발 계획에 대하여 자유롭게 기술하세요. (글자수 제한 없음),입사 포부 자기개발 계획 자유롭게 기술하
52,0,지원동기/입사 후 포부,지원동기입사 포부
53,0,입사 후 자기 계발 계획 및 포부 (500자 이내),입사 자기 계발 계획 포부
54,0,입사 후 포부 (400자 이내),입사 포부
55,0,"지원동기/입사 후 포부 (최소 1자, 최대 400자 입력가능)",지원동기입사 포부
56,0,"입사 후, 직무중심 경력개발계획 및 성장경로를 기술바랍니다.",입사 직무중심 경력개발계획 성장경로 기술바랍니다
57,0,입사후 포부: 광동제약을 통해 실현하고 싶은 가치,입사후 포부 광동제약 실현 가치
58,0,입사 후 포부 및 자기개발 계획에 대하여 자유롭게 기술하세요.,입사 포부 자기개발 계획 자유롭게 기술하
59,0,우리 공사 지원동기 및 입사 후 포부에 대해 기술해 주십시오.,우리 공사 지원동기 입사 포부 대해 기술해
60,0,귀하의 지원 동기 및 입사 후 포부에 대해 간단하게 기술 바랍니다,귀하 지원 동기 입사 포부 대해 간단하게 기술 바랍니다
61,0,앞으로의 계획과 포부에 대해 기술해주시기 바랍니다.,앞으로 계획 포부 대해 기술해주시기 바랍니다
62,0,입사 후 포부 : 입사 후 1년 동안 회사생활 목표 및 시나리오와 그것을 추구하는 이유를 서술해주세요. 500,입사 포부 입사 1년 동안 회사생활 목표 시나리오 그것 추구 이유 서술해 500
